Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default
6613,Rent,,1 year,0.0,16.0,18.3,1024958.0,0.0,,0.0,debt consolidation,Long Term,677974.0,761254.0,24275.0,,1
6614,Own Home,,< 1 year,0.0,7.0,10.9,273966.0,0.0,,0.0,business loan,Long Term,779394.0,129656.0,25322.0,,1
6615,Rent,486343.0,3 years,0.0,12.0,11.7,444004.0,0.0,,0.0,debt consolidation,Short Term,184096.0,285304.0,11064.0,737.0,1
6616,Rent,855171.0,,0.0,14.0,23.2,408870.0,0.0,6.0,0.0,other,Short Term,220044.0,76627.0,7554.0,706.0,0
6617,Rent,,6 years,0.0,9.0,18.7,154396.0,1.0,21.0,1.0,debt consolidation,Short Term,79398.0,67602.0,11889.0,,0
6618,Home Mortgage,1726074.0,5 years,0.0,13.0,12.3,504196.0,0.0,,0.0,debt consolidation,Short Term,474122.0,415435.0,31069.0,713.0,0
6619,Home Mortgage,1144788.0,2 years,2.0,11.0,28.6,463628.0,3.0,80.0,1.0,debt consolidation,Short Term,265100.0,227829.0,15264.0,711.0,0
6620,Home Mortgage,,3 years,0.0,4.0,8.3,44836.0,0.0,,0.0,home improvements,Short Term,39226.0,33117.0,8502.0,,1
6621,Home Mortgage,1472215.0,10+ years,0.0,15.0,15.1,749232.0,0.0,76.0,0.0,debt consolidation,Long Term,99999999.0,449065.0,28954.0,718.0,0
6622,Home Mortgage,2014304.0,9 years,0.0,10.0,17.0,326414.0,0.0,26.0,0.0,debt consolidation,Long Term,466246.0,210311.0,16669.0,709.0,0
6623,Home Mortgage,953230.0,4 years,0.0,10.0,20.2,353408.0,0.0,50.0,0.0,debt consolidation,Short Term,258280.0,246924.0,14775.0,735.0,0
6624,Home Mortgage,1817977.0,10+ years,0.0,4.0,10.7,85052.0,0.0,5.0,0.0,debt consolidation,Short Term,161238.0,35340.0,17725.0,702.0,0
6625,Home Mortgage,,,0.0,23.0,22.6,1781010.0,0.0,37.0,0.0,other,Short Term,132770.0,275329.0,23393.0,,0
6626,Rent,507870.0,4 years,0.0,4.0,16.7,121924.0,0.0,,0.0,other,Long Term,196020.0,89395.0,2387.0,731.0,1
6627,Rent,1957703.0,3 years,0.0,6.0,26.0,64768.0,1.0,,1.0,debt consolidation,Long Term,625526.0,57.0,31812.0,649.0,0
6628,Rent,1245222.0,9 years,0.0,5.0,13.7,393052.0,0.0,,0.0,other,Short Term,218460.0,320093.0,9983.0,680.0,0
6629,Rent,819242.0,2 years,0.0,13.0,12.9,287452.0,0.0,,0.0,debt consolidation,Short Term,23606.0,129599.0,15634.0,726.0,1
6630,Home Mortgage,677312.0,10+ years,0.0,5.0,14.0,344960.0,0.0,,0.0,debt consolidation,Short Term,179256.0,277647.0,6209.0,7020.0,1
6631,Rent,1871937.0,5 years,0.0,9.0,18.5,677182.0,0.0,,0.0,debt consolidation,Long Term,782100.0,552672.0,26519.0,6170.0,1
6632,Rent,753996.0,10+ years,0.0,5.0,25.3,168102.0,0.0,43.0,0.0,debt consolidation,Short Term,104764.0,82745.0,5712.0,727.0,1
6633,Rent,289997.0,2 years,0.0,4.0,4.7,80894.0,0.0,,0.0,debt consolidation,Short Term,44770.0,6156.0,715.0,724.0,0
6634,Home Mortgage,748068.0,10+ years,0.0,4.0,26.2,389246.0,0.0,,0.0,debt consolidation,Short Term,216546.0,94791.0,11346.0,748.0,0
6635,Rent,830813.0,2 years,0.0,8.0,8.5,319704.0,0.0,,0.0,debt consolidation,Short Term,190168.0,159866.0,10108.0,729.0,1
6636,Rent,2697981.0,3 years,0.0,12.0,20.8,672980.0,0.0,44.0,0.0,debt consolidation,Short Term,436920.0,402211.0,17762.0,697.0,0
6637,Rent,1580116.0,7 years,0.0,12.0,25.5,215380.0,1.0,32.0,0.0,debt consolidation,Long Term,602690.0,116451.0,16591.0,655.0,1
6638,Home Mortgage,1107966.0,,0.0,14.0,38.1,2122648.0,0.0,70.0,0.0,debt consolidation,Short Term,162162.0,131993.0,7977.0,750.0,0
6639,Home Mortgage,990470.0,6 years,0.0,21.0,20.1,549164.0,0.0,28.0,0.0,debt consolidation,Short Term,382096.0,322981.0,26082.0,6970.0,1
6640,Home Mortgage,1285274.0,5 years,0.0,4.0,11.7,302676.0,0.0,,0.0,debt consolidation,Long Term,99999999.0,166250.0,11353.0,719.0,0
6641,Rent,844854.0,5 years,0.0,9.0,10.5,255794.0,0.0,10.0,0.0,debt consolidation,Short Term,311256.0,165908.0,13166.0,728.0,0
6642,Rent,1390648.0,5 years,0.0,12.0,18.3,289828.0,0.0,64.0,0.0,debt consolidation,Short Term,334466.0,220780.0,27581.0,701.0,0
6643,Rent,1505256.0,< 1 year,0.0,13.0,27.2,550726.0,1.0,57.0,1.0,debt consolidation,Short Term,217866.0,181222.0,22202.0,700.0,0
6644,Home Mortgage,,,0.0,14.0,22.2,801944.0,0.0,,0.0,debt consolidation,Short Term,258148.0,130910.0,14476.0,,0
6645,Rent,1586861.0,10+ years,0.0,11.0,18.4,885126.0,0.0,13.0,0.0,other,Short Term,132110.0,626069.0,19704.0,742.0,0
6646,Rent,912000.0,2 years,0.0,21.0,19.4,1663046.0,0.0,,0.0,other,Long Term,99999999.0,113468.0,18620.0,744.0,0
6647,Rent,,10+ years,0.0,7.0,22.0,528660.0,0.0,,0.0,debt consolidation,Short Term,288948.0,257507.0,13597.0,,0
6648,Rent,809818.0,4 years,0.0,12.0,13.0,524722.0,0.0,43.0,0.0,debt consolidation,Short Term,256740.0,247874.0,23282.0,689.0,0
6649,Rent,595840.0,10+ years,0.0,3.0,15.3,17248.0,0.0,22.0,0.0,debt consolidation,Short Term,68992.0,13737.0,8640.0,687.0,0
6650,Rent,497306.0,7 years,0.0,4.0,6.0,243760.0,0.0,,0.0,debt consolidation,Short Term,155034.0,174515.0,3655.0,7210.0,1
6651,Home Mortgage,1697859.0,,0.0,12.0,31.4,286220.0,0.0,35.0,0.0,debt consolidation,Long Term,393184.0,168340.0,24478.0,700.0,1
6652,Rent,884868.0,6 years,0.0,9.0,9.6,165022.0,1.0,22.0,1.0,debt consolidation,Short Term,156948.0,14250.0,12167.0,730.0,0
6653,Home Mortgage,1154250.0,10+ years,0.0,8.0,17.6,109208.0,0.0,13.0,0.0,debt consolidation,Short Term,206052.0,61959.0,16448.0,712.0,0
6654,Home Mortgage,824372.0,4 years,0.0,8.0,12.2,873488.0,0.0,68.0,0.0,debt consolidation,Short Term,190916.0,151620.0,8450.0,741.0,0
6655,Rent,,10+ years,1.0,11.0,9.0,331188.0,1.0,,0.0,debt consolidation,Long Term,291258.0,101251.0,19207.0,,1
6656,Home Mortgage,1694610.0,3 years,0.0,17.0,35.0,861256.0,1.0,,1.0,debt consolidation,Long Term,479644.0,532570.0,33327.0,723.0,0
6657,Home Mortgage,1655375.0,10+ years,0.0,15.0,13.9,737396.0,0.0,68.0,0.0,home improvements,Long Term,676500.0,562970.0,23865.0,646.0,0
6658,Rent,1885389.0,10+ years,0.0,15.0,18.3,916168.0,0.0,75.0,0.0,debt consolidation,Short Term,109824.0,575225.0,34880.0,707.0,0
6659,Home Mortgage,1140912.0,4 years,0.0,6.0,14.1,330198.0,0.0,,0.0,other,Short Term,99999999.0,59033.0,10173.0,745.0,0
6660,Home Mortgage,,3 years,0.0,9.0,9.3,317900.0,0.0,,0.0,other,Long Term,528594.0,216353.0,21621.0,,1
6661,Home Mortgage,1159608.0,6 years,0.0,7.0,14.2,175582.0,0.0,63.0,0.0,debt consolidation,Short Term,179036.0,9861.0,17974.0,743.0,0
6662,Home Mortgage,,5 years,0.0,15.0,22.5,287034.0,1.0,39.0,1.0,home improvements,Short Term,441584.0,1482.0,21141.0,,0
6663,Rent,4120549.0,1 year,0.0,17.0,14.8,756954.0,0.0,1.0,0.0,debt consolidation,Short Term,310684.0,106552.0,42235.0,701.0,0
6664,Rent,705394.0,1 year,0.0,8.0,6.4,174218.0,0.0,17.0,0.0,debt consolidation,Short Term,177144.0,72523.0,19222.0,6750.0,1
6665,Rent,,2 years,0.0,8.0,9.2,217536.0,0.0,,0.0,debt consolidation,Short Term,197142.0,94506.0,11820.0,,0
6666,Home Mortgage,1026190.0,10+ years,0.0,11.0,14.1,742302.0,0.0,,0.0,debt consolidation,Short Term,120978.0,150005.0,22234.0,748.0,0
6667,Rent,987506.0,9 years,0.0,7.0,14.0,184756.0,0.0,,0.0,debt consolidation,Short Term,131934.0,110257.0,15224.0,702.0,0
6668,Rent,745712.0,10+ years,0.0,10.0,19.0,1706584.0,0.0,,0.0,debt consolidation,Short Term,396660.0,561545.0,21874.0,713.0,0
6669,Home Mortgage,1129303.0,10+ years,0.0,8.0,12.3,561132.0,0.0,57.0,0.0,debt consolidation,Short Term,330220.0,185611.0,12140.0,745.0,0
6670,Rent,,4 years,0.0,14.0,9.9,654324.0,0.0,,0.0,debt consolidation,Short Term,65208.0,62168.0,1559.0,,0
6671,Rent,633403.0,3 years,0.0,14.0,10.0,350988.0,0.0,,0.0,debt consolidation,Short Term,71126.0,281295.0,12087.0,714.0,1
6672,Rent,539923.0,5 years,0.0,10.0,24.2,344102.0,0.0,33.0,0.0,debt consolidation,Short Term,160754.0,159885.0,11608.0,725.0,1
6673,Home Mortgage,1119024.0,8 years,0.0,11.0,29.5,470734.0,0.0,,0.0,debt consolidation,Long Term,431904.0,323608.0,16599.0,681.0,0
6674,Home Mortgage,1181306.0,9 years,0.0,8.0,20.5,1389630.0,0.0,,0.0,debt consolidation,Short Term,110308.0,1100537.0,23921.0,745.0,0
6675,Rent,1032631.0,10+ years,0.0,13.0,16.9,570438.0,0.0,,0.0,debt consolidation,Long Term,387508.0,442890.0,29258.0,6580.0,1
6676,Rent,2650576.0,10+ years,0.0,10.0,21.0,415712.0,0.0,39.0,0.0,debt consolidation,Short Term,467038.0,263530.0,18841.0,717.0,0
6677,Rent,843201.0,7 years,0.0,19.0,17.5,1412818.0,0.0,16.0,0.0,debt consolidation,Short Term,99999999.0,453910.0,12648.0,741.0,0
6678,Rent,767904.0,1 year,0.0,9.0,15.4,275528.0,0.0,73.0,0.0,debt consolidation,Short Term,222288.0,168226.0,18302.0,718.0,0
6679,Home Mortgage,2519647.0,8 years,0.0,17.0,17.0,860904.0,0.0,,0.0,home improvements,Short Term,99999999.0,26771.0,28136.0,734.0,0
6680,Rent,804631.0,10+ years,0.0,11.0,16.9,212982.0,0.0,18.0,0.0,other,Short Term,221826.0,107046.0,16763.0,726.0,1
6681,Rent,697889.0,8 years,0.0,7.0,12.5,231506.0,0.0,,0.0,other,Short Term,269368.0,51585.0,3391.0,731.0,0
6682,Home Mortgage,2293908.0,2 years,0.0,14.0,16.7,1162260.0,0.0,,0.0,debt consolidation,Long Term,774708.0,736763.0,43584.0,667.0,0
6683,Rent,1124040.0,10+ years,0.0,10.0,23.2,188386.0,0.0,48.0,0.0,debt consolidation,Long Term,571098.0,100548.0,23886.0,683.0,1
6684,Home Mortgage,2622760.0,1 year,0.0,7.0,23.3,676720.0,0.0,15.0,0.0,business loan,Long Term,759220.0,509637.0,14381.0,701.0,0
6685,Own Home,422161.0,10+ years,0.0,12.0,37.0,1367652.0,0.0,9.0,0.0,debt consolidation,Short Term,154836.0,401603.0,10624.0,720.0,0
6686,Rent,1261562.0,2 years,0.0,14.0,20.9,346082.0,2.0,44.0,0.0,other,Short Term,134838.0,88179.0,14087.0,693.0,0
6687,Rent,554363.0,10+ years,0.0,7.0,27.8,159500.0,0.0,57.0,0.0,business loan,Short Term,59752.0,67640.0,11503.0,6880.0,1
6688,Home Mortgage,1044069.0,10+ years,0.0,6.0,12.8,421784.0,0.0,2.0,0.0,debt consolidation,Short Term,226402.0,98344.0,3967.0,741.0,0
6689,Home Mortgage,1627958.0,10+ years,0.0,22.0,18.5,980782.0,0.0,,0.0,debt consolidation,Long Term,440572.0,73701.0,37714.0,729.0,1
6690,Own Home,1157556.0,10+ years,0.0,10.0,19.7,419628.0,0.0,34.0,0.0,debt consolidation,Short Term,178706.0,169974.0,24502.0,7370.0,1
6691,Rent,1906840.0,4 years,0.0,7.0,19.6,878438.0,0.0,45.0,0.0,debt consolidation,Short Term,441584.0,672163.0,14397.0,732.0,0
6692,Rent,595061.0,4 years,0.0,14.0,22.7,231330.0,1.0,7.0,1.0,other,Short Term,216150.0,82308.0,16464.0,683.0,1
6693,Home Mortgage,,4 years,0.0,8.0,24.8,353034.0,0.0,24.0,0.0,debt consolidation,Long Term,269786.0,168606.0,15110.0,,0
6694,Home Mortgage,1641486.0,1 year,0.0,9.0,21.1,964084.0,0.0,38.0,0.0,other,Short Term,99999999.0,137389.0,4117.0,745.0,0
6695,Rent,1322153.0,1 year,0.0,10.0,13.2,558668.0,0.0,15.0,0.0,debt consolidation,Short Term,362252.0,128345.0,3162.0,736.0,0
6696,Rent,785308.0,< 1 year,0.0,9.0,11.8,47586.0,0.0,,0.0,other,Long Term,64944.0,16150.0,7591.0,742.0,1
6697,Rent,1037894.0,5 years,0.0,12.0,13.0,568414.0,0.0,,0.0,debt consolidation,Short Term,437008.0,271472.0,8191.0,728.0,0
6698,Home Mortgage,3557940.0,4 years,0.0,12.0,16.1,310464.0,0.0,35.0,0.0,debt consolidation,Short Term,443696.0,186086.0,40323.0,741.0,0
6699,Home Mortgage,1458915.0,5 years,0.0,10.0,21.9,630498.0,1.0,,1.0,debt consolidation,Long Term,451594.0,480814.0,24194.0,669.0,0
6700,Rent,1565771.0,6 years,0.0,5.0,7.8,246004.0,0.0,,0.0,other,Long Term,659274.0,101764.0,4175.0,681.0,0
6701,Rent,,10+ years,0.0,9.0,11.0,492272.0,0.0,,0.0,home improvements,Long Term,216942.0,127965.0,7357.0,,1
6702,Rent,1140114.0,10+ years,0.0,4.0,13.2,447986.0,0.0,,0.0,debt consolidation,Short Term,571340.0,315704.0,12921.0,739.0,1
6703,Rent,869877.0,1 year,0.0,6.0,13.0,277288.0,0.0,,0.0,debt consolidation,Short Term,88418.0,56753.0,8503.0,748.0,0
6704,Home Mortgage,1035804.0,3 years,0.0,11.0,15.0,752180.0,0.0,,0.0,debt consolidation,Long Term,261668.0,219564.0,22356.0,6960.0,1
6705,Home Mortgage,1649238.0,10+ years,0.0,6.0,14.4,294492.0,0.0,,0.0,home improvements,Short Term,786324.0,117762.0,1759.0,717.0,0
6706,Home Mortgage,2044096.0,10+ years,0.0,7.0,33.8,1181774.0,0.0,,0.0,debt consolidation,Short Term,536976.0,811395.0,33166.0,737.0,0
6707,Home Mortgage,,10+ years,0.0,12.0,21.3,912450.0,0.0,,0.0,debt consolidation,Long Term,353584.0,586283.0,12906.0,,1
6708,Home Mortgage,1847237.0,10+ years,0.0,11.0,15.6,439274.0,0.0,42.0,0.0,debt consolidation,Short Term,788018.0,293246.0,36637.0,685.0,0
6709,Rent,846887.0,8 years,0.0,7.0,19.7,326392.0,0.0,,0.0,debt consolidation,Short Term,130746.0,128820.0,9175.0,740.0,1
6710,Own Home,928872.0,2 years,0.0,13.0,24.0,468314.0,1.0,40.0,1.0,debt consolidation,Short Term,336116.0,185630.0,11456.0,728.0,0
6711,Home Mortgage,676514.0,< 1 year,0.0,9.0,6.4,89650.0,0.0,,0.0,debt consolidation,Short Term,280720.0,41876.0,11275.0,731.0,1
6712,Home Mortgage,2334891.0,10+ years,0.0,24.0,23.4,2311716.0,0.0,,0.0,debt consolidation,Short Term,417626.0,149739.0,9028.0,724.0,0
6713,Rent,709574.0,2 years,0.0,9.0,15.7,625020.0,0.0,,0.0,debt consolidation,Short Term,216216.0,341677.0,15552.0,712.0,0
6714,Rent,,4 years,0.0,8.0,11.4,190696.0,0.0,24.0,0.0,debt consolidation,Long Term,323730.0,117914.0,17224.0,,1
6715,Home Mortgage,1304065.0,7 years,0.0,14.0,19.9,399102.0,0.0,,0.0,home improvements,Short Term,215710.0,223345.0,22387.0,729.0,1
6716,Own Home,,2 years,0.0,13.0,18.1,252670.0,0.0,,0.0,debt consolidation,Short Term,131868.0,155800.0,21923.0,,0
6717,Rent,2014551.0,6 years,0.0,17.0,14.3,1060686.0,0.0,11.0,0.0,debt consolidation,Long Term,420420.0,280307.0,34583.0,624.0,0
6718,Home Mortgage,1233518.0,1 year,0.0,25.0,12.3,276826.0,0.0,,0.0,debt consolidation,Short Term,219736.0,148238.0,21175.0,722.0,0
6719,Rent,1547512.0,3 years,0.0,9.0,13.2,474914.0,0.0,,0.0,medical bills,Long Term,335984.0,224352.0,12251.0,701.0,1
6720,Home Mortgage,,10+ years,0.0,29.0,17.6,2120690.0,0.0,,0.0,debt consolidation,Short Term,267036.0,269230.0,21076.0,,0
6721,Rent,484082.0,7 years,0.0,11.0,26.6,233046.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,114513.0,7543.0,742.0,0
6722,Home Mortgage,1507992.0,2 years,0.0,20.0,17.9,242330.0,0.0,72.0,0.0,debt consolidation,Short Term,209528.0,154660.0,19101.0,740.0,0
6723,Home Mortgage,3441888.0,2 years,0.0,9.0,15.1,206976.0,1.0,,1.0,debt consolidation,Short Term,99999999.0,162659.0,41303.0,728.0,0
6724,Rent,,8 years,0.0,7.0,15.7,369930.0,1.0,,0.0,debt consolidation,Short Term,67166.0,124602.0,21388.0,,0
6725,Rent,1257116.0,5 years,0.0,9.0,18.3,557282.0,1.0,,1.0,debt consolidation,Long Term,457402.0,181450.0,21894.0,721.0,0
6726,Rent,1021706.0,6 years,0.0,10.0,11.6,322630.0,0.0,,0.0,debt consolidation,Short Term,344146.0,210919.0,14815.0,748.0,1
6727,Home Mortgage,4867800.0,9 years,0.0,25.0,30.9,1838166.0,0.0,,0.0,debt consolidation,Long Term,631268.0,771533.0,83158.0,734.0,1
6728,Rent,1090695.0,7 years,0.0,11.0,14.8,156310.0,0.0,6.0,0.0,debt consolidation,Short Term,132946.0,109497.0,20632.0,730.0,0
6729,Home Mortgage,1064437.0,10+ years,0.0,9.0,17.5,273020.0,0.0,,0.0,home improvements,Short Term,332222.0,82289.0,19515.0,743.0,0
6730,Home Mortgage,1324015.0,1 year,0.0,9.0,16.4,768064.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,161842.0,13792.0,749.0,0
6731,Rent,1339139.0,8 years,0.0,28.0,29.5,937904.0,0.0,,0.0,debt consolidation,Long Term,435556.0,421211.0,18971.0,663.0,0
6732,Home Mortgage,,9 years,0.0,11.0,18.9,844096.0,0.0,6.0,0.0,debt consolidation,Short Term,611820.0,114456.0,28841.0,,0
6733,Home Mortgage,775428.0,10+ years,0.0,13.0,15.5,191422.0,0.0,62.0,0.0,debt consolidation,Short Term,224466.0,156731.0,11955.0,7250.0,1
6734,Rent,1764568.0,5 years,0.0,19.0,14.4,778360.0,0.0,,0.0,debt consolidation,Short Term,335522.0,639293.0,40585.0,743.0,0
6735,Rent,1623018.0,10+ years,0.0,6.0,13.0,197494.0,0.0,22.0,0.0,debt consolidation,Long Term,542520.0,148219.0,16230.0,645.0,0
6736,Home Mortgage,,10+ years,0.0,15.0,18.2,1272612.0,0.0,14.0,0.0,business loan,Long Term,655842.0,541842.0,14670.0,,0
6737,Rent,538384.0,3 years,0.0,15.0,12.7,494362.0,0.0,18.0,0.0,debt consolidation,Short Term,210386.0,199823.0,8435.0,7300.0,1
6738,Home Mortgage,3953919.0,7 years,0.0,16.0,16.5,864996.0,0.0,34.0,0.0,debt consolidation,Short Term,640068.0,592401.0,52389.0,697.0,0
6739,Home Mortgage,1918430.0,10+ years,0.0,7.0,15.1,768438.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,597930.0,17905.0,737.0,0
6740,Rent,2414197.0,4 years,0.0,2.0,20.5,683012.0,0.0,,0.0,home improvements,Long Term,626164.0,14155.0,483.0,743.0,0
6741,Rent,2072102.0,6 years,0.0,17.0,23.4,792726.0,0.0,,0.0,debt consolidation,Short Term,506506.0,440211.0,33154.0,729.0,0
6742,Home Mortgage,823992.0,2 years,0.0,6.0,21.3,503514.0,0.0,61.0,0.0,debt consolidation,Short Term,176682.0,268736.0,11715.0,745.0,1
6743,Rent,1344098.0,1 year,0.0,7.0,14.7,338184.0,0.0,,0.0,debt consolidation,Short Term,200090.0,161804.0,14449.0,747.0,0
6744,Home Mortgage,2390675.0,< 1 year,0.0,15.0,20.1,10309068.0,0.0,,0.0,other,Long Term,775082.0,1006069.0,30481.0,728.0,0
6745,Rent,799596.0,< 1 year,0.0,4.0,10.1,200310.0,0.0,,0.0,debt consolidation,Short Term,180334.0,118845.0,2086.0,671.0,1
6746,Own Home,,7 years,0.0,8.0,16.1,700612.0,0.0,67.0,0.0,business loan,Long Term,443256.0,51433.0,19466.0,,0
6747,Rent,911620.0,7 years,0.0,7.0,15.6,744084.0,0.0,,0.0,debt consolidation,Short Term,377784.0,339948.0,18080.0,744.0,0
6748,Home Mortgage,656070.0,,0.0,13.0,28.9,817740.0,0.0,,0.0,debt consolidation,Short Term,333586.0,514140.0,16511.0,701.0,0
6749,Home Mortgage,1260574.0,6 years,0.0,11.0,10.4,505054.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,286995.0,13131.0,731.0,0
6750,Rent,1668314.0,6 years,0.0,12.0,11.9,382294.0,0.0,,0.0,other,Short Term,263428.0,83524.0,11692.0,750.0,1
6751,Rent,,7 years,0.0,14.0,14.6,1532784.0,0.0,,0.0,debt consolidation,Long Term,257004.0,281960.0,24765.0,,0
6752,Rent,1090581.0,10+ years,0.0,7.0,9.0,287892.0,1.0,,1.0,debt consolidation,Long Term,221540.0,195928.0,14087.0,728.0,0
6753,Rent,500574.0,,0.0,8.0,7.0,140470.0,0.0,,0.0,debt consolidation,Short Term,111474.0,61256.0,2445.0,712.0,0
6754,Home Mortgage,,10+ years,0.0,11.0,21.9,1171522.0,1.0,42.0,0.0,debt consolidation,Short Term,160336.0,23275.0,2311.0,,1
6755,Home Mortgage,900410.0,10+ years,0.0,11.0,19.6,864578.0,0.0,25.0,0.0,debt consolidation,Short Term,79816.0,630952.0,15682.0,742.0,0
6756,Rent,1044164.0,< 1 year,0.0,16.0,20.5,503206.0,1.0,56.0,0.0,debt consolidation,Short Term,197846.0,142975.0,19143.0,722.0,0
6757,Rent,1247958.0,10+ years,0.0,6.0,17.0,325930.0,0.0,,0.0,other,Short Term,54670.0,261782.0,7987.0,738.0,1
6758,Rent,,4 years,0.0,9.0,11.8,327250.0,0.0,,0.0,debt consolidation,Short Term,199210.0,250420.0,8481.0,,0
6759,Rent,,3 years,0.0,27.0,22.0,610786.0,0.0,,0.0,debt consolidation,Short Term,53504.0,270598.0,17421.0,,1
6760,Rent,825664.0,7 years,0.0,13.0,18.5,404822.0,1.0,,1.0,debt consolidation,Short Term,177870.0,211527.0,8188.0,731.0,0
6761,Home Mortgage,,2 years,0.0,28.0,13.9,1577312.0,0.0,82.0,0.0,debt consolidation,Short Term,575894.0,726066.0,15840.0,,1
6762,Home Mortgage,4345110.0,< 1 year,0.0,7.0,20.8,951896.0,0.0,6.0,0.0,other,Long Term,245960.0,244986.0,23536.0,737.0,0
6763,Rent,858876.0,10+ years,0.0,5.0,14.3,118976.0,0.0,30.0,0.0,debt consolidation,Long Term,415624.0,71098.0,16390.0,705.0,1
6764,Rent,2093857.0,4 years,0.0,17.0,18.0,1760044.0,0.0,39.0,0.0,debt consolidation,Long Term,785708.0,725059.0,35421.0,7280.0,1
6765,Home Mortgage,1425285.0,< 1 year,0.0,16.0,27.4,963424.0,0.0,21.0,0.0,debt consolidation,Short Term,352066.0,371925.0,18291.0,751.0,0
6766,Home Mortgage,,7 years,0.0,9.0,9.9,351450.0,0.0,,0.0,debt consolidation,Long Term,344960.0,204573.0,17981.0,,0
6767,Own Home,2480374.0,10+ years,0.0,13.0,27.1,795168.0,0.0,54.0,0.0,debt consolidation,Short Term,99999999.0,393509.0,32245.0,746.0,0
6768,Home Mortgage,,10+ years,0.0,15.0,19.4,1721038.0,0.0,,0.0,debt consolidation,Short Term,104500.0,87685.0,20698.0,,0
6769,Home Mortgage,1726245.0,10+ years,0.0,13.0,22.5,627528.0,1.0,,1.0,other,Short Term,99999999.0,42275.0,16399.0,749.0,0
6770,Home Mortgage,,3 years,0.0,11.0,23.0,1375682.0,0.0,,0.0,other,Short Term,179806.0,1164339.0,51043.0,,0
6771,Rent,1157442.0,5 years,0.0,14.0,21.4,808808.0,0.0,,0.0,debt consolidation,Short Term,122848.0,428203.0,8758.0,745.0,0
6772,Home Mortgage,,10+ years,0.0,6.0,14.8,533588.0,0.0,,0.0,debt consolidation,Long Term,437184.0,437323.0,34217.0,,0
6773,Home Mortgage,,10+ years,0.0,23.0,13.0,372218.0,1.0,9.0,1.0,debt consolidation,Long Term,297418.0,119909.0,25686.0,,1
6774,Rent,,1 year,0.0,6.0,8.9,542718.0,0.0,,0.0,other,Short Term,120186.0,311220.0,9308.0,,0
6775,Rent,,10+ years,0.0,10.0,18.5,413952.0,0.0,43.0,0.0,debt consolidation,Short Term,289498.0,234878.0,12062.0,,0
6776,Rent,,1 year,0.0,10.0,24.4,386276.0,0.0,18.0,0.0,debt consolidation,Long Term,427020.0,133779.0,19410.0,,0
6777,Home Mortgage,2915493.0,10+ years,0.0,16.0,19.4,947034.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,479294.0,36930.0,708.0,0
6778,Own Home,733742.0,10+ years,0.0,15.0,30.5,651420.0,0.0,,0.0,debt consolidation,Long Term,372504.0,532760.0,15531.0,683.0,0
6779,Home Mortgage,,10+ years,0.0,6.0,17.3,819126.0,0.0,,0.0,debt consolidation,Long Term,657162.0,529872.0,22105.0,,0
6780,Home Mortgage,2725968.0,1 year,0.0,12.0,17.2,1107700.0,0.0,,0.0,debt consolidation,Short Term,676368.0,709840.0,44297.0,744.0,0
6781,Rent,869801.0,4 years,0.0,10.0,9.6,225896.0,0.0,,0.0,debt consolidation,Short Term,179036.0,75886.0,9894.0,726.0,1
6782,Home Mortgage,1168462.0,7 years,0.0,17.0,10.8,968880.0,1.0,,1.0,home improvements,Short Term,157124.0,12559.0,24732.0,745.0,0
6783,Own Home,484424.0,10+ years,0.0,16.0,15.3,1184942.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,265050.0,9204.0,739.0,0
6784,Rent,658217.0,< 1 year,0.0,10.0,14.5,535612.0,0.0,,0.0,debt consolidation,Long Term,332068.0,337212.0,11283.0,705.0,1
6785,Home Mortgage,1862190.0,10+ years,0.0,9.0,23.4,321134.0,0.0,16.0,0.0,debt consolidation,Long Term,378950.0,197752.0,20174.0,720.0,0
6786,Home Mortgage,1761281.0,5 years,0.0,7.0,17.3,624536.0,0.0,18.0,0.0,debt consolidation,Short Term,99999999.0,365693.0,19667.0,747.0,0
6787,Rent,,10+ years,0.0,13.0,29.4,719510.0,0.0,55.0,0.0,other,Short Term,110396.0,410115.0,25053.0,,1
6788,Home Mortgage,1778685.0,10+ years,0.0,12.0,19.1,588588.0,0.0,,0.0,debt consolidation,Long Term,586586.0,293816.0,32565.0,691.0,1
6789,Rent,1376455.0,10+ years,0.0,11.0,5.5,1121032.0,0.0,,0.0,debt consolidation,Long Term,259270.0,251731.0,36017.0,684.0,1
6790,Rent,580982.0,3 years,0.0,8.0,8.4,164824.0,0.0,,0.0,debt consolidation,Short Term,124784.0,84417.0,4459.0,730.0,0
6791,Rent,1326941.0,4 years,0.0,7.0,13.3,691438.0,0.0,,0.0,debt consolidation,Short Term,491656.0,508763.0,24438.0,737.0,0
6792,Home Mortgage,1611941.0,10+ years,0.0,20.0,16.2,850190.0,0.0,24.0,0.0,debt consolidation,Long Term,395252.0,417791.0,26866.0,691.0,1
